"sequence","support","pattern"
"<{Etanercept},{Adalimumab}>",0.0285578562047671,2
"<{Fluticasone},{Ketoconazole}>",0.0285438846508509,2
"<{Etanercept},{Fluticasone}>",0.027998994048118,2
"<{Methotrexate},{Mometasone}>",0.0279710509402856,2
"<{Tacrolimus}>",0.0275099896610501,1
"<{Hydrocortisone},{Triamcinolone}>",0.0274820465532176,2
"<{Etanercept},{Methotrexate}>",0.0272864447983905,2
"<{Azathioprine}>",0.0268393550730712,1
"<{Triamcinolone},{Fluocinonide}>",0.026392265347752,2
"<{Betamethasone},{Triamcinolone}>",0.0255120574510297,2
"<{Clobetasol},{Hydrocortisone}>",0.0254561712353648,2
"<{Ketoconazole},{Triamcinolone}>",0.0251208539413754,2
"<{Clobetasol},{Ketoconazole}>",0.025037024617878,2
"<{Ixekizumab}>",0.0249951099561293,1
"<{Etanercept},{Clobetasol}>",0.0248833375247995,2
"<{Clobetasol},{Apremilast}>",0.0243663900298991,2
"<{Adalimumab},{Etanercept}>",0.0243105038142342,2
"<{Adalimumab},{Secukinumab}>",0.023374409701847,2
"<{Betamethasone},{Methotrexate}>",0.0221169698493866,2
"<{Betamethasone},{Clobetasol}>",0.0210830748595859,2
"<{Desoximetasone}>",0.0207757006734289,1
"<{Clobetasol},{Calcipotriene}>",0.0207477575655964,2
"<{Triamcinolone},{Apremilast}>",0.0205661273646855,2
"<{Methotrexate},{Fluticasone},{Triamcinolone}>",0.020538184256853,3
"<{Betamethasone},{Fluticasone}>",0.0201330091932825,2
"<{Ketoconazole},{Fluticasone}>",0.0200352083158689,2
"<{Clobetasol},{Secukinumab}>",0.0199234358845391,2
"<{Clobetasol},{Fluocinonide}>",0.0198116634532093,2
"<{Fluocinonide},{Triamcinolone}>",0.0196579763601308,2
"<{Triamcinolone},{Etanercept}>",0.0196440048062145,2
"<{Hydrocortisone},{Fluticasone}>",0.0195322323748847,2
"<{Fluticasone},{Etanercept}>",0.0194344314974711,2
"<{Fluticasone},{Mometasone}>",0.0189593986643194,2
"<{Methotrexate},{Calcipotriene}>",0.0186659960320787,2
"<{Adalimumab},{Betamethasone}>",0.0186520244781625,2
"<{Triamcinolone},{Mometasone}>",0.0184703942772515,2
"<{Fluticasone},{Fluocinonide}>",0.0181071338754296,2
"<{Ketoconazole},{Methotrexate}>",0.0180791907675972,2
"<{Fluticasone},{Apremilast}>",0.0179674183362674,2
"<{Ketoconazole},{Clobetasol}>",0.0179255036745187,2
"<{Hydrocortisone},{Methotrexate}>",0.0177997596892726,2
"<{Infliximab}>",0.0177857881353564,1
"<{Methotrexate},{Triamcinolone},{Clobetasol}>",0.0176740157040266,3
"<{Triamcinolone},{Secukinumab}>",0.0176460725961941,2
"<{Adalimumab},{Hydrocortisone}>",0.0176181294883617,2
"<{Methotrexate},{Triamcinolone},{Fluticasone}>",0.0172828121943723,3
"<{Clobetasol},{Etanercept}>",0.016835722469053,2
"<{Adalimumab},{Apremilast}>",0.0167658646994719,2
"<{Apremilast},{Triamcinolone}>",0.0167379215916394,2
"<{Fluocinonide},{Methotrexate}>",0.0165702629446447,2
"<{Triamcinolone},{Calcipotriene}>",0.0163886327437338,2
"<{Nicotine}>",0.0163048034202364,1
"<{Pimecrolimus}>",0.0162349456506553,1
"<{Fluticasone},{Secukinumab}>",0.0161650878810741,2
"<{Fluocinonide},{Clobetasol}>",0.0159974292340794,2
"<{Methotrexate},{Ciclopirox}>",0.0159974292340794,2
"<{Hydrocortisone},{Clobetasol}>",0.0158437421410009,2
"<{Adalimumab},{Ketoconazole}>",0.0157319697096711,2
"<{Etanercept},{Secukinumab}>",0.0155503395087602,2
"<{Methotrexate},{Adalimumab},{Triamcinolone}>",0.015480481739179,3
"<{Fluocinonide},{Fluticasone}>",0.0151870791069383,2
"<{Methotrexate},{Clobetasol},{Triamcinolone}>",0.0150194204599436,3
"<{Mometasone},{Triamcinolone}>",0.0147120462737866,2
"<{Apremilast},{Secukinumab}>",0.0146841031659541,2
"<{Ketoconazole},{Hydrocortisone}>",0.0146841031659541,2
"<{Mometasone},{Fluticasone}>",0.0144465867493783,2
"<{Apremilast},{Methotrexate}>",0.0143627574258809,2
"<{Clobetasol},{Mometasone}>",0.0142928996562998,2
"<{Apremilast},{Fluticasone}>",0.0142509849945511,2
"<{Etanercept},{Betamethasone}>",0.013873753038813,2
"<{Methotrexate},{Halobetasol}>",0.0137480090535669,2
"<{Methotrexate},{Ustekinumab}>",0.0136502081761534,2
"<{Methotrexate},{Fluocinolone}>",0.0135803504065722,2
"<{Ketoconazole},{Betamethasone}>",0.0132729762204152,2
"<{Apremilast},{Clobetasol}>",0.0132310615586666,2
"<{Clobetasol},{Halobetasol}>",0.0132170900047503,2
"<{Methotrexate},{Certolizumab}>",0.0131192891273367,2
"<{Methotrexate},{Fluticasone},{Clobetasol}>",0.0130075166960069,3
"<{Methotrexate},{Adalimumab},{Fluticasone}>",0.0129236873725096,3
"<{Sulfacetamide}>",0.0128678011568447,1
"<{Betamethasone},{Adalimumab}>",0.0128538296029284,2
"<{Mycophenolate}>",0.0127420571715986,1
"<{Crisaborole}>",0.0126861709559337,1
"<{Hydrocortisone},{Betamethasone}>",0.0123368821080281,2
"<{Methotrexate},{Triamcinolone},{Betamethasone}>",0.0123368821080281,3
"<{Etanercept},{Hydrocortisone}>",0.0122809958923631,2
"<{Hydrocortisone},{Ketoconazole}>",0.0121412803532009,2
"<{Methotrexate},{Clobetasol},{Fluticasone}>",0.0120993656914522,3
"<{Triamcinolone},{Fluocinolone}>",0.0120295079218711,2
"<{Methotrexate},{Gentamicin}>",0.0119736217062062,2
"<{Mometasone},{Clobetasol}>",0.011778019951379,2
"<{Betamethasone},{Hydrocortisone}>",0.0116802190739654,2
"<{Apremilast},{Adalimumab}>",0.0116383044122167,2
"<{Adalimumab},{Fluocinonide}>",0.0116243328583005,2
"<{Triamcinolone},{Halobetasol}>",0.011596389750468,2
"<{Fluocinonide},{Betamethasone}>",0.0114566742113058,2
"<{Calcitriol}>",0.0114007879956409,1
"<{Mometasone},{Methotrexate}>",0.0113728448878084,2
"<{Betamethasone},{Ketoconazole}>",0.011344901779976,2
"<{Methotrexate},{Ixekizumab}>",0.011344901779976,2
"<{Methotrexate},{Adalimumab},{Clobetasol}>",0.0112610724564786,3
"<{Clobetasol},{Fluocinolone}>",0.0112191577947299,2
"<{Etanercept},{Apremilast}>",0.0111493000251488,2
"<{Etanercept},{Ketoconazole}>",0.0109956129320703,2
"<{Fluticasone},{Calcipotriene}>",0.0109816413781541,2
"<{Methotrexate},{Etanercept},{Adalimumab}>",0.010730153407662,3
"<{Methotrexate},{Adalimumab},{Etanercept}>",0.0107161818537458,3
"<{Clobetasol},{Calcipotriene-Betamethasone}>",0.0105904378684997,2
"<{Methotrexate},{Desonide}>",0.0105624947606673,2
"<{Methotrexate},{Triamcinolone},{Hydrocortisone}>",0.0105066085450024,3
"<{Methotrexate},{Triamcinolone},{Ketoconazole}>",0.0104507223293375,3
"<{Betamethasone},{Apremilast}>",0.010297035236259,2
"<{Triamcinolone},{Tacrolimus}>",0.0102690921284265,2
"<{Methotrexate},{Tacrolimus}>",0.0102551205745103,2
"<{Hydrocortisone},{Adalimumab}>",0.0102271774666778,2
"<{Fluticasone},{Ciclopirox}>",0.0102132059127616,2
"<{Adalimumab},{Mometasone}>",0.0101433481431805,2
"<{Triamcinolone},{Ciclopirox}>",0.0100455472657669,2
"<{Methotrexate},{Calcipotriene-Betamethasone}>",0.0100176041579344,2
"<{Ketoconazole},{Adalimumab}>",0.00991980328052086,2
"<{Fluocinonide},{Hydrocortisone}>",0.00990583172660463,2
"<{Fluticasone},{Methotrexate},{Triamcinolone}>",0.00987788861877218,3
"<{Adalimumab},{Ustekinumab}>",0.00972420152569369,2
"<{Methotrexate},{Etanercept},{Triamcinolone}>",0.00966831531002878,3
"<{Methotrexate},{Triamcinolone},{Adalimumab}>",0.0096264006482801,3
"<{Ketoconazole},{Fluocinonide}>",0.00961242909436387,2
"<{Secukinumab},{Ixekizumab}>",0.00952859977086652,2
"<{Fluticasone},{Fluocinolone}>",0.00944477044736916,2
"<{Calcipotriene},{Methotrexate}>",0.0093609411238718,2
"<{Methotrexate},{Fluticasone},{Hydrocortisone}>",0.00931902646212312,3
"<{Fluocinonide},{Ketoconazole}>",0.00923519713862576,2
"<{Fluticasone},{Triamcinolone},{Clobetasol}>",0.00919328247687708,3
"<{Clobetasol},{Tacrolimus}>",0.00913739626121217,2
"<{Fluocinonide},{Adalimumab}>",0.00912342470729595,2
"<{Clobetasol},{Ixekizumab}>",0.00909548159946349,2
"<{Betamethasone},{Fluocinonide}>",0.00906753849163104,2
"<{Calcipotriene},{Triamcinolone}>",0.00905356693771481,2
"<{Methotrexate},{Clobetasol},{Betamethasone}>",0.00901165227596613,3
"<{Methotrexate},{Fluticasone},{Betamethasone}>",0.00899768072204991,3
"<{Methotrexate},{Etanercept},{Fluticasone}>",0.00895576606030123,3
"<{Methotrexate},{Fluticasone},{Adalimumab}>",0.00892782295246877,3
"<{Triamcinolone},{Gentamicin}>",0.00891385139855255,2
"<{Fluticasone},{Methotrexate},{Adalimumab}>",0.00884399362897141,3
"<{Secukinumab},{Triamcinolone}>",0.00880207896722273,2
"<{Triamcinolone},{Methotrexate},{Adalimumab}>",0.00877413585939028,3
"<{Clobetasol},{Ustekinumab}>",0.00876016430547405,2
"<{Triamcinolone},{Clobetasol},{Methotrexate}>",0.0086763349819767,3
"<{Adalimumab},{Certolizumab}>",0.00859250565847934,2
"<{Methotrexate},{Adalimumab},{Secukinumab}>",0.00855059099673066,3
"<{Etanercept},{Fluocinonide}>",0.00853661944281443,2
"<{Betamethasone},{Calcipotriene}>",0.00853661944281443,2
"<{Clobetasol},{Ciclopirox}>",0.00848073322714952,2
"<{Methotrexate},{Hydrocortisone},{Triamcinolone}>",0.00842484701148462,3
"<{Methotrexate},{Fluticasone},{Ketoconazole}>",0.00834101768798726,3
"<{Triamcinolone},{Clobetasol},{Fluticasone}>",0.00834101768798726,3
"<{Methotrexate},{Azathioprine}>",0.00832704613407103,2
"<{Clobetasol},{Methotrexate},{Triamcinolone}>",0.0083130745801548,3
"<{Clobetasol},{Methotrexate},{Adalimumab}>",0.00829910302623858,3
"<{Adalimumab},{Calcipotriene}>",0.00828513147232235,2
"<{Mometasone},{Betamethasone}>",0.00822924525665744,2
"<{Fluticasone},{Halobetasol}>",0.00818733059490877,2
"<{Adalimumab},{Ixekizumab}>",0.00817335904099254,2
"<{Hydrocortisone},{Fluocinonide}>",0.00817335904099254,2
"<{Calcipotriene},{Fluticasone}>",0.00808952971749518,2
"<{Fluticasone},{Triamcinolone},{Methotrexate}>",0.00806158660966273,3
"<{Apremilast},{Betamethasone}>",0.00806158660966273,2
"<{Methotrexate},{Ketoconazole},{Triamcinolone}>",0.00800570039399782,3
"<{Triamcinolone},{Ixekizumab}>",0.00799172884008159,2
"<{Methotrexate},{Betamethasone},{Triamcinolone}>",0.00796378573224914,3
"<{Methotrexate},{Triamcinolone},{Fluocinonide}>",0.00793584262441669,3
"<{Calcipotriene},{Clobetasol}>",0.00787995640875178,2
"<{Triamcinolone},{Methotrexate},{Fluticasone}>",0.00782407019308688,3
"<{Alclometasone}>",0.0077821555313382,1
"<{Triamcinolone},{Ustekinumab}>",0.00776818397742197,2
"<{Ustekinumab},{Secukinumab}>",0.00776818397742197,2
"<{Mometasone},{Hydrocortisone}>",0.00764243999217593,2
"<{Secukinumab},{Fluticasone}>",0.0076284684382597,2
"<{Mometasone},{Ketoconazole}>",0.00761449688434348,2
"<{Methotrexate},{Clobetasol},{Adalimumab}>",0.0075725822225948,3
"<{Fluocinolone},{Methotrexate}>",0.00754463911476234,2
"<{Clobetasol},{Triamcinolone},{Fluticasone}>",0.00751669600692989,3
"<{Methotrexate},{Infliximab}>",0.00750272445301366,2
"<{Betamethasone},{Secukinumab}>",0.00744683823734876,2
"<{Guselkumab}>",0.00743286668343253,1
"<{Clobetasol},{Methotrexate},{Fluticasone}>",0.00739095202168385,3
"<{Secukinumab},{Clobetasol}>",0.00739095202168385,2
"<{Methotrexate},{Clobetasol},{Ketoconazole}>",0.0073630089138514,3
"<{Fluticasone},{Gentamicin}>",0.00733506580601895,2
"<{Betamethasone},{Mometasone}>",0.00730712269818649,2
"<{Fluticasone},{Clobetasol},{Triamcinolone}>",0.00726520803643781,3
"<{Fluocinolone},{Triamcinolone}>",0.00725123648252159,2
"<{Hydrocortisone},{Mometasone}>",0.00725123648252159,2
"<{Clobetasol},{Triamcinolone},{Methotrexate}>",0.00723726492860536,3
"<{Ciclopirox},{Triamcinolone}>",0.00716740715902423,2
"<{Cyclosporine}>",0.00713946405119177,1
"<{Fluticasone},{Triamcinolone},{Betamethasone}>",0.00711152094335932,3
"<{Methotrexate},{Etanercept},{Clobetasol}>",0.00708357783552687,3
"<{Methotrexate},{Clobetasol},{Hydrocortisone}>",0.00702769161986196,3
"<{Triamcinolone},{Calcipotriene-Betamethasone}>",0.00702769161986196,2
"<{Etanercept},{Mometasone}>",0.00701372006594573,2
"<{Clobetasol},{Fluticasone},{Triamcinolone}>",0.00699974851202951,3
"<{Triamcinolone},{Desonide}>",0.00697180540419705,2
"<{Secukinumab},{Methotrexate}>",0.00691591918853215,2
"<{Desonide},{Triamcinolone}>",0.00690194763461592,2
"<{Triamcinolone},{Clobetasol},{Betamethasone}>",0.00690194763461592,3
"<{Adalimumab},{Methotrexate},{Triamcinolone}>",0.00686003297286724,3
"<{Fluocinolone},{Fluticasone}>",0.00681811831111856,2
"<{Ketoconazole},{Mometasone}>",0.00677620364936988,2
"<{Adalimumab},{Fluticasone},{Triamcinolone}>",0.00665045966412384,3
"<{Methotrexate},{Desoximetasone}>",0.00663648811020762,2
"<{Fluocinonide},{Apremilast}>",0.00663648811020762,2
"<{Methotrexate},{Adalimumab},{Hydrocortisone}>",0.00662251655629139,3
"<{Betamethasone},{Etanercept}>",0.00658060189454271,2
"<{Clobetasol},{Desonide}>",0.00658060189454271,2
"<{Triamcinolone},{Methotrexate},{Clobetasol}>",0.00656663034062648,3
"<{Adalimumab},{Methotrexate},{Fluticasone}>",0.00651074412496158,3
"<{Apremilast},{Ixekizumab}>",0.00649677257104535,2
"<{Fluticasone},{Tacrolimus}>",0.00648280101712913,2
"<{Methotrexate},{Clobetasol},{Apremilast}>",0.00644088635538045,3
"<{Mometasone},{Adalimumab}>",0.00642691480146422,2
"<{Fluticasone},{Ixekizumab}>",0.00641294324754799,2
"<{Ketoconazole},{Apremilast}>",0.00639897169363177,2
"<{Calcipotriene-Betamethasone},{Methotrexate}>",0.00638500013971554,2
"<{Fluocinolone},{Clobetasol}>",0.00638500013971554,2
"<{Methotrexate},{Adalimumab},{Betamethasone}>",0.00638500013971554,3
"<{Acitretin}>",0.00635705703188309,1
"<{Apremilast},{Hydrocortisone}>",0.00632911392405063,2
"<{Apremilast},{Ustekinumab}>",0.00631514237013441,2
"<{Apremilast},{Etanercept}>",0.00631514237013441,2
"<{Methotrexate},{Nicotine}>",0.00630117081621818,2
"<{Fluticasone},{Desonide}>",0.00628719926230195,2
"<{Hydrocortisone},{Apremilast}>",0.00627322770838573,2
"<{Calcipotriene},{Betamethasone}>",0.00624528460055327,2
"<{Fluticasone},{Methotrexate},{Clobetasol}>",0.00623131304663705,3
"<{Methotrexate},{Triamcinolone},{Apremilast}>",0.00623131304663705,3
"<{Fluticasone},{Ustekinumab}>",0.00620336993880459,2
"<{Clobetasol},{Gentamicin}>",0.00620336993880459,2
"<{Methotrexate},{Pimecrolimus}>",0.00616145527705591,2
"<{Fluticasone},{Triamcinolone},{Ketoconazole}>",0.00614748372313969,3
"<{Methotrexate},{Triamcinolone},{Etanercept}>",0.00614748372313969,3
"<{Methotrexate},{Betamethasone},{Clobetasol}>",0.00614748372313969,3
"<{Methotrexate},{Clobetasol},{Secukinumab}>",0.00613351216922346,3
"<{Adalimumab},{Halobetasol}>",0.00610556906139101,2
"<{Methotrexate},{Betamethasone},{Fluticasone}>",0.00610556906139101,3
"<{Fluocinonide},{Calcipotriene}>",0.00610556906139101,2
"<{Certolizumab},{Triamcinolone}>",0.00607762595355855,2
"<{Betamethasone},{Halobetasol}>",0.00607762595355855,2
"<{Halobetasol},{Methotrexate}>",0.00603571129180987,2
"<{Fluticasone},{Triamcinolone},{Hydrocortisone}>",0.00603571129180987,3
"<{Selenium}>",0.00597982507614497,1
"<{Adalimumab},{Triamcinolone},{Clobetasol}>",0.00596585352222874,3
"<{Triamcinolone},{Fluticasone},{Methotrexate}>",0.00595188196831252,3
"<{Ciclopirox},{Fluticasone}>",0.00595188196831252,2
"<{Methotrexate},{Hydrocortisone},{Fluticasone}>",0.00592393886048006,3
"<{Fluticasone},{Certolizumab}>",0.00592393886048006,2
"<{Halobetasol},{Triamcinolone}>",0.00590996730656384,2
"<{Etanercept},{Certolizumab}>",0.00590996730656384,2
"<{Ketoconazole},{Ciclopirox}>",0.00588202419873138,2
"<{Fluticasone},{Calcipotriene-Betamethasone}>",0.00588202419873138,2
"<{Clobetasol},{Triamcinolone},{Betamethasone}>",0.00586805264481516,3
"<{Calcipotriene},{Apremilast}>",0.00585408109089893,2
"<{Ustekinumab},{Triamcinolone}>",0.00581216642915025,2
"<{Methotrexate},{Triamcinolone},{Secukinumab}>",0.00581216642915025,3
"<{Adalimumab},{Fluocinolone}>",0.00579819487523402,2
"<{Ketoconazole},{Fluocinolone}>",0.0057842233213178,2
"<{Ketoconazole},{Etanercept}>",0.00577025176740157,2
"<{Azathioprine},{Triamcinolone}>",0.00575628021348534,2
"<{Calcipotriene},{Adalimumab}>",0.00575628021348534,2
"<{Methotrexate},{Adalimumab},{Ketoconazole}>",0.00571436555173666,3
"<{Triamcinolone},{Fluticasone},{Clobetasol}>",0.00571436555173666,3
"<{Hydrocortisone},{Etanercept}>",0.0056305362282393,2
"<{Fluticasone},{Clobetasol},{Methotrexate}>",0.00561656467432308,3
"<{Ustekinumab},{Methotrexate}>",0.00558862156649063,2
"<{Methotrexate},{Ketoconazole},{Fluticasone}>",0.00558862156649063,3
"<{Triamcinolone},{Certolizumab}>",0.00558862156649063,2
"<{Etanercept},{Methotrexate},{Triamcinolone}>",0.00556067845865817,3
"<{Adalimumab},{Triamcinolone},{Fluticasone}>",0.00556067845865817,3
"<{Triamcinolone},{Clobetasol},{Hydrocortisone}>",0.00553273535082572,3
"<{Hydrocortisone},{Secukinumab}>",0.00550479224299327,2
"<{Fluticasone},{Methotrexate},{Etanercept}>",0.00550479224299327,3
"<{Etanercept},{Calcipotriene}>",0.00550479224299327,2
"<{Calcipotriene-Betamethasone},{Clobetasol}>",0.00549082068907704,2
"<{Methotrexate},{Adalimumab},{Apremilast}>",0.00549082068907704,3
"<{Methotrexate},{Fluocinonide},{Triamcinolone}>",0.00547684913516081,3
"<{Certolizumab},{Fluticasone}>",0.00546287758124459,2
"<{Calcipotriene-Betamethasone},{Triamcinolone}>",0.00544890602732836,2
"<{Methotrexate},{Fluticasone},{Fluocinonide}>",0.00544890602732836,3
"<{Methotrexate},{Fluticasone},{Etanercept}>",0.00543493447341213,3
"<{Adalimumab},{Ciclopirox}>",0.00543493447341213,2
"<{Gentamicin},{Triamcinolone}>",0.00540699136557968,2
"<{Etanercept},{Ustekinumab}>",0.00539301981166345,2
"<{Methotrexate},{Fluticasone},{Mometasone}>",0.00539301981166345,3
"<{Adalimumab},{Clobetasol},{Triamcinolone}>",0.00537904825774723,3
"<{Halobetasol},{Fluticasone}>",0.00537904825774723,2
"<{Methotrexate},{Clobetasol},{Fluocinonide}>",0.00537904825774723,3
"<{Triamcinolone},{Clobetasol},{Ketoconazole}>",0.005365076703831,3
"<{Methotrexate},{Fluticasone},{Apremilast}>",0.005365076703831,3
"<{Fluticasone},{Triamcinolone},{Adalimumab}>",0.00533713359599855,3
"<{Methotrexate},{Fluticasone},{Secukinumab}>",0.00532316204208232,3
"<{Ustekinumab},{Clobetasol}>",0.00532316204208232,2
"<{Secukinumab},{Apremilast}>",0.00532316204208232,2
"<{Halobetasol},{Clobetasol}>",0.00530919048816609,2
"<{Methotrexate},{Triamcinolone},{Mometasone}>",0.00529521893424987,3
"<{Apremilast},{Ketoconazole}>",0.00529521893424987,2
"<{Methotrexate},{Ketoconazole},{Clobetasol}>",0.00529521893424987,3
"<{Hydrocortisone},{Calcipotriene}>",0.00529521893424987,2
"<{Triamcinolone},{Azathioprine}>",0.00528124738033364,2
"<{Fluocinonide},{Secukinumab}>",0.00525330427250119,2
"<{Fluocinonide},{Mometasone}>",0.00525330427250119,2
"<{Adalimumab},{Calcipotriene-Betamethasone}>",0.00525330427250119,2
"<{Methotrexate},{Etanercept},{Secukinumab}>",0.00522536116466873,3
"<{Clobetasol},{Certolizumab}>",0.00521138961075251,2
"<{Ciclopirox},{Methotrexate}>",0.00516947494900383,2
"<{Ustekinumab},{Fluticasone}>",0.00516947494900383,2
"<{Apremilast},{Fluocinonide}>",0.00516947494900383,2
"<{Apremilast},{Calcipotriene}>",0.0051555033950876,2
"<{Methotrexate},{Clobetasol},{Calcipotriene}>",0.0051555033950876,3
"<{Triamcinolone},{Clobetasol},{Adalimumab}>",0.0051555033950876,3
"<{Calcipotriene-Betamethasone},{Fluticasone}>",0.00514153184117138,2
"<{Clobetasol},{Betamethasone},{Triamcinolone}>",0.00512756028725515,3
"<{Methotrexate},{Apremilast},{Triamcinolone}>",0.0050996171794227,3
"<{Certolizumab},{Methotrexate}>",0.0050996171794227,2
"<{Triamcinolone},{Crisaborole}>",0.00508564562550647,2
"<{Ketoconazole},{Calcipotriene}>",0.00507167407159024,2
"<{Triamcinolone},{Betamethasone},{Methotrexate}>",0.00501578785592534,3
"<{Clobetasol},{Fluticasone},{Methotrexate}>",0.00501578785592534,3
"<{Desonide},{Fluticasone}>",0.00500181630200911,2
"<{Fluocinonide},{Etanercept}>",0.00500181630200911,2
"<{Fluocinonide},{Fluocinolone}>",0.00497387319417666,2
"<{Fluticasone},{Clobetasol},{Betamethasone}>",0.00497387319417666,3
"<{Etanercept},{Ixekizumab}>",0.00495990164026043,2
"<{Methotrexate},{Crisaborole}>",0.00495990164026043,2
"<{Clobetasol},{Methotrexate},{Betamethasone}>",0.0049459300863442,3
"<{Tazarotene}>",0.00493195853242798,1
"<{Fluticasone},{Hydrocortisone},{Triamcinolone}>",0.00493195853242798,3
"<{Desoximetasone},{Triamcinolone}>",0.00491798697851175,2
"<{Ciclopirox},{Clobetasol}>",0.00491798697851175,2
"<{Triamcinolone},{Betamethasone},{Clobetasol}>",0.00491798697851175,3
"<{Triamcinolone},{Fluticasone},{Betamethasone}>",0.00491798697851175,3
"<{Certolizumab},{Secukinumab}>",0.00487607231676307,2
"<{Etanercept},{Fluticasone},{Triamcinolone}>",0.00486210076284684,3
"<{Adalimumab},{Tacrolimus}>",0.00486210076284684,2
"<{Mometasone},{Fluocinonide}>",0.00484812920893062,2
"<{Clobetasol},{Desoximetasone}>",0.00484812920893062,2
"<{Desonide},{Methotrexate}>",0.00483415765501439,2
"<{Ketoconazole},{Secukinumab}>",0.00482018610109816,2
"<{Azathioprine},{Fluticasone}>",0.00482018610109816,2
"<{Triamcinolone},{Methotrexate},{Etanercept}>",0.00482018610109816,3
"<{Fluticasone},{Azathioprine}>",0.00482018610109816,2
"<{Methotrexate},{Hydrocortisone},{Clobetasol}>",0.00480621454718194,3
"<{Triamcinolone},{Methotrexate},{Betamethasone}>",0.00480621454718194,3
"<{Clobetasol},{Triamcinolone},{Hydrocortisone}>",0.00479224299326571,3
"<{Adalimumab},{Methotrexate},{Clobetasol}>",0.00479224299326571,3
"<{Salicylic}>",0.00477827143934948,1
"<{Triamcinolone},{Fluticasone},{Hydrocortisone}>",0.00477827143934948,3
"<{Triamcinolone},{Desoximetasone}>",0.00476429988543326,2
"<{Secukinumab},{Betamethasone}>",0.00476429988543326,2
"<{Triamcinolone},{Pimecrolimus}>",0.00475032833151703,2
"<{Desonide},{Clobetasol}>",0.0047363567776008,2
"<{Adalimumab},{Clobetasol},{Fluticasone}>",0.00469444211585212,3
"<{Methotrexate},{Mometasone},{Triamcinolone}>",0.00466649900801967,3
"<{Fluticasone},{Adalimumab},{Triamcinolone}>",0.00463855590018722,3
"<{Methotrexate},{Apremilast},{Secukinumab}>",0.00463855590018722,3
"<{Methotrexate},{Sulfacetamide}>",0.00456869813060609,2
"<{Fluticasone},{Methotrexate},{Hydrocortisone}>",0.00456869813060609,3
"<{Triamcinolone},{Betamethasone},{Fluticasone}>",0.00456869813060609,3
"<{Fluocinolone},{Betamethasone}>",0.00455472657668986,2
